horario,festividad,lesividad,meteo,lon,lat,num_acc
Tarde,Festivo,No,Despejado,-3.6373333333333333,40.456,0
Tarde,Festivo,No,Despejado,-3.6266666666666665,40.456,0
Tarde,Festivo,No,Despejado,-3.7333333333333334,40.464,0
Tarde,Festivo,No,Despejado,-3.7226666666666666,40.464,0
Tarde,Festivo,No,Despejado,-3.712,40.464,0
Tarde,Festivo,No,Despejado,-3.68,40.464,0
Tarde,Festivo,No,Despejado,-3.6693333333333333,40.464,0
Tarde,Festivo,No,Despejado,-3.6586666666666665,40.464,0
Tarde,Festivo,No,Despejado,-3.648,40.464,0
Tarde,Festivo,No,Despejado,-3.6373333333333333,40.464,0
Tarde,Festivo,No,Despejado,-3.6266666666666665,40.464,0
Tarde,Festivo,No,Despejado,-3.7333333333333334,40.472,0
Tarde,Festivo,No,Despejado,-3.7226666666666666,40.472,0
Tarde,Festivo,No,Despejado,-3.712,40.472,0
Tarde,Festivo,No,Despejado,-3.7013333333333334,40.472,0
Tarde,Festivo,No,Despejado,-3.6906666666666665,40.472,0
Tarde,Festivo,No,Despejado,-3.68,40.472,0
Tarde,Festivo,No,Despejado,-3.6693333333333333,40.472,0
Tarde,Festivo,No,Despejado,-3.6586666666666665,40.472,0
Tarde,Festivo,No,Despejado,-3.648,40.472,0
Tarde,Festivo,No,Despejado,-3.6373333333333333,40.472,0
Tarde,Festivo,No,Despejado,-3.6266666666666665,40.472,0
Tarde,Festivo,No,Despejado,-3.7226666666666666,40.48,0
Tarde,Festivo,No,Despejado,-3.712,40.48,0
Tarde,Festivo,No,Despejado,-3.7013333333333334,40.48,0
Tarde,Festivo,No,Despejado,-3.6906666666666665,40.48,0
Tarde,Festivo,No,Despejado,-3.68,40.48,0
Tarde,Festivo,No,Despejado,-3.6693333333333333,40.48,0
Tarde,Festivo,No,Despejado,-3.6373333333333333,40.48,0
Tarde,Festivo,No,Despejado,-3.6266666666666665,40.48,0
Tarde,Festivo,No,Despejado,-3.7226666666666666,40.488,0
Tarde,Festivo,No,Despejado,-3.712,40.488,0
Tarde,Festivo,No,Despejado,-3.7013333333333334,40.488,0
Tarde,Festivo,No,Despejado,-3.6906666666666665,40.488,0
Tarde,Festivo,No,Despejado,-3.68,40.488,0
Tarde,Festivo,No,Despejado,-3.6693333333333333,40.488,0
Tarde,Festivo,No,Despejado,-3.6586666666666665,40.488,0
Tarde,Festivo,No,Despejado,-3.648,40.488,0
Tarde,Festivo,No,Despejado,-3.6373333333333333,40.488,0
Tarde,Festivo,No,Despejado,-3.6266666666666665,40.488,0
Tarde,Festivo,No,Despejado,-3.7333333333333334,40.496,0
Tarde,Festivo,No,Despejado,-3.7226666666666666,40.496,0
Tarde,Festivo,No,Despejado,-3.712,40.496,0
Tarde,Festivo,No,Despejado,-3.7013333333333334,40.496,0
Tarde,Festivo,No,Despejado,-3.6906666666666665,40.496,0
Tarde,Festivo,No,Despejado,-3.68,40.496,0
Tarde,Festivo,No,Despejado,-3.6693333333333333,40.496,0
Tarde,Festivo,No,Despejado,-3.6586666666666665,40.496,0
Tarde,Festivo,No,Despejado,-3.648,40.496,0
