fecha,meteo,tipo_accidente,lesividad,distrito,direccion
2017-04-07 23:00:00,Despejado,Caida,Leve,CHAMBERI                      ,CALLE DE FRANCISCO DE ROJAS - CALLE DE NICASIO GALLEGO
2017-04-08 12:00:00,Despejado,Imprudencia,Leve,USERA                         ,CAMINO DE PERALES NUM                                                                                20
2017-04-09 16:00:00,Despejado,Caida,Leve,CARABANCHEL                   ,PARQUE DE MADRID RIO (RIBERA OESTE) KM.                                                              5800
2017-04-09 19:00:00,Despejado,Imprudencia,Moderada,RETIRO                        ,PARQUE DEL RETIRO
2017-04-09 19:00:00,Despejado,Imprudencia,Moderada,RETIRO                        ,PARQUE DEL RETIRO
2017-04-10 17:00:00,Despejado,Imprudencia,Leve,MONCLOA-ARAVACA               ,PARQUE DE MADRID RIO (RIBERA ESTE) KM.                                                               1800
2017-04-10 20:00:00,Despejado,Colision,Leve,CENTRO                        ,CALLE DE TORRECILLA DEL LEAL - CALLE DEL OLMO
2017-04-10 22:00:00,Despejado,Imprudencia,Leve,SAN BLAS                      ,AVENIDA DE LUIS ARAGONÉS NUM                                                                         4
2017-04-11 14:00:00,Despejado,Colision,Grave,SAN BLAS                      ,CALLE DE CAMPEZO NUM                                                                                 16
2017-04-12 16:00:00,Despejado,Caida,Leve,CENTRO                        ,CALLE DE HORTALEZA - CALLE DE MEJIA LEQUERICA
2017-04-12 19:00:00,Despejado,Imprudencia,Moderada,CHAMBERI                      ,CALLE DE LUCHANA - CALLE DE SANTA ENGRACIA
2017-04-12 20:00:00,Despejado,Caida,Leve,CENTRO                        ,PASEO DE RECOLETOS NUM                                                                               25
2017-04-13 06:00:00,Despejado,Caida,Leve,TETUAN                        ,CALLE DE SINESIO DELGADO - CALLE DEL CAPITAN BLANCO ARGIBAY
2017-04-13 14:00:00,Despejado,Caida,Grave,HORTALEZA                     ,CALLE DE JULIO CARO BAROJA - CAMINO DEL VALDEBEBAS
2017-04-13 15:00:00,Despejado,Caida,Leve,CHAMBERI                      ,CALLE DE ALMAGRO NUM                                                                                 34
2017-04-14 18:00:00,Despejado,Colision,Leve,BARAJAS                       ,AVENIDA DE LOGROÑO - CALLE DE TINTIN Y MILU
2017-04-15 05:00:00,Despejado,Caida,Leve,CHAMBERI                      ,CALLE DE SANTA ENGRACIA NUM                                                                          106
2017-04-15 06:00:00,Despejado,Colision,Leve,ARGANZUELA                    ,PASEO DE LAS DELICIAS - PLAZA DE LUCA DE TENA
2017-04-15 11:00:00,Despejado,Imprudencia,Grave,HORTALEZA                     ,CARRIL  ANILLO VERDE CICLISTA KM.                                                                    7200
2017-04-15 14:00:00,Despejado,Caida,Leve,CHAMBERI                      ,PLAZA DE ALONSO MARTINEZ NUM                                                                         3
2017-04-16 17:00:00,Despejado,Colision,Grave,MONCLOA-ARAVACA               ,CALLE DE ANA TERESA - CALLE DE ANTONIO SANFIZ
2017-04-17 16:00:00,Despejado,Caida,Leve,CENTRO                        ,CALLE DEL PUENTE DE SEGOVIA
2017-04-20 23:00:00,Despejado,Caida,Leve,CENTRO                        ,CALLE DEL OLIVAR NUM                                                                                 31
2017-04-21 16:00:00,Despejado,Colision,Leve,CARABANCHEL                   ,AVENIDA DE LA PRINCESA JUANA DE AUSTRIA - AVENIDA DE LOS POBLADOS
2017-04-21 18:00:00,Despejado,Caida,Leve,MORATALAZ                     ,CALLE DE JOSE BERGAMIN NUM                                                                           30
2017-04-22 14:00:00,Despejado,Colision,Grave,CHAMARTIN                     ,CALLE DEL PRINCIPE DE VERGARA - PLAZA DE LA REPUBLICA DEL ECUADOR
2017-04-22 22:00:00,Despejado,Caida,Leve,CENTRO                        ,PASEO DEL PRADO NUM                                                                                  48
2017-04-22 23:00:00,Despejado,Colision,Leve,SALAMANCA                     ,CALLE DE DIEGO DE LEON - CALLE DE FRANCISCO SILVELA
2017-04-23 09:00:00,Despejado,Colision,Leve,VILLAVERDE                    ,CALLE DE LA COALICION - CALLE DE LA UNANIMIDAD
2017-04-23 14:00:00,Despejado,Caida,Leve,PUENTE DE VALLECAS            ,AVENIDA DE MIGUEL HERNANDEZ - CALLE DE RAFAEL FERNANDEZ HIJICOS
2017-04-23 16:00:00,Despejado,Colision,Leve,FUENCARRAL-EL PARDO           ,CALLE DE GABRIELA MISTRAL - CALLE DEL ARROYO DEL MONTE
2017-04-23 16:00:00,Despejado,Colision,Moderada,FUENCARRAL-EL PARDO           ,CALLE DE GABRIELA MISTRAL - CALLE DEL ARROYO DEL MONTE
2017-04-24 12:00:00,Despejado,Caida,Leve,BARAJAS                       ,PARQUE DE JUAN CARLOS I NUM                                                                          1
2017-04-24 16:00:00,Despejado,Colision,Leve,SALAMANCA                     ,CALLE DE CLAUDIO COELLO - CALLE DE GOYA
