fecha,dia,year,horario,festividad,tipo_accidente,lesividad,distrito,direccion,lon,lat,meteo_Despejado,meteo_Lluvia,meteo_Niebla
2019-02-13 18:00:00,2019-02-13 00:00:00,2019,2,1,Imprudencia,Leve,HORTALEZA,CALLE SILVANO / CALLE FRANCISCO MOSQUEDA Madrid,-3.628083299999999,40.4626547,1,0,0
2019-02-13 14:00:00,2019-02-13 00:00:00,2019,2,1,Colision,Moderada,SALAMANCA,CALLE CONDE DE PEÑALVER 38 Madrid,-3.6749609,40.4290821,1,0,0
2019-02-14 20:00:00,2019-02-14 00:00:00,2019,2,1,Imprudencia,Leve,CHAMBERÍ,CALLE SANTA ENGRACIA 6 Madrid,-3.6955671,40.4286654,1,0,0
2019-02-14 20:00:00,2019-02-14 00:00:00,2019,2,1,Imprudencia,Leve,CHAMBERÍ,CALLE SANTA ENGRACIA 6 Madrid,-3.6955671,40.4286654,1,0,0
2019-02-14 18:00:00,2019-02-14 00:00:00,2019,2,1,Caida,Leve,RETIRO,AVDA. MENENDEZ PELAYO 38 Madrid,-3.6807097,40.4051017,1,0,0
2019-02-14 18:00:00,2019-02-14 00:00:00,2019,2,1,Colision,Leve,MORATALAZ,AUTOV. M-40 CON AVDA. DOCTOR GARCIA TAPIA Madrid,-3.6970276,40.36453909999999,1,0,0
2019-02-14 14:00:00,2019-02-14 00:00:00,2019,2,1,Colision,Leve,RETIRO,PASEO. INFANTA ISABEL 17 Madrid,-3.6874172,40.4069569,1,0,0
2019-02-15 14:00:00,2019-02-15 00:00:00,2019,2,1,Caida,Leve,RETIRO,GTA. ANGEL CAIDO 4 Madrid,-3.6878257,40.4098609,1,0,0
2019-02-16 20:00:00,2019-02-16 00:00:00,2019,2,1,Caida,Leve,CARABANCHEL,CALLE JOAQUIN TURINA 31 Madrid,-3.7533687000000007,40.372187,1,0,0
2019-02-16 17:00:00,2019-02-16 00:00:00,2019,2,1,Caida,Moderada,ARGANZUELA,PASEO. CHOPERA 2 Madrid,-3.7022263,40.39584910000001,1,0,0
2019-02-16 14:00:00,2019-02-16 00:00:00,2019,2,2,Colision,Leve,CENTRO,RONDA DE VALENCIA CON GLORIETA DE EMBAJADORES Madrid,-3.7022481,40.40512409999999,1,0,0
2019-02-17 09:00:00,2019-02-17 00:00:00,2019,1,3,Colision,Grave,CARABANCHEL,AVDA. POBLADOS / CALLE ANTONIO ROMERO Madrid,-3.7312235,40.3734001,1,0,0
2019-02-19 12:00:00,2019-02-19 00:00:00,2019,1,1,Colision,Leve,LATINA,CALLE IGLESIAS EXTRAMUROS / AVDA. PESETA Madrid,-3.764662599999999,40.36772970000001,1,0,0
2019-02-20 10:00:00,2019-02-20 00:00:00,2019,1,1,Colision,Leve,PUENTE DE VALLECAS,CALLE MANCHA / AVDA. ENTREVIAS Madrid,-3.6686962,40.38167610000001,1,0,0
2019-02-20 08:00:00,2019-02-20 00:00:00,2019,1,1,Caida,Leve,CENTRO,CALLE ATOCHA 104 Madrid,-3.695468,40.4102417,1,0,0
