,fecha,meteo,tipo_accidente,lesividad,distrito,direccion,horario,dia,festividad,lon,lat
79,2019-02-14 20:00:00,Despejado,Imprudencia,Leve,CHAMBERÍ,CALLE SANTA ENGRACIA 6 Madrid,Tarde,2019-02-14,Laborable,,
80,2019-02-14 18:00:00,Despejado,Caida,Leve,RETIRO,AVDA. MENENDEZ PELAYO 38 Madrid,Tarde,2019-02-14,Laborable,,
81,2019-02-14 18:00:00,Despejado,Colision,Leve,MORATALAZ,AUTOV. M-40 CON AVDA. DOCTOR GARCIA TAPIA Madrid,Tarde,2019-02-14,Laborable,,
82,2019-02-14 14:00:00,Despejado,Colision,Leve,RETIRO,PASEO. INFANTA ISABEL 17 Madrid,Tarde,2019-02-14,Laborable,,
83,2019-02-15 14:00:00,Despejado,Caida,Leve,RETIRO,GTA. ANGEL CAIDO 4 Madrid,Tarde,2019-02-15,Laborable,,
84,2019-02-16 20:00:00,Despejado,Caida,Leve,CARABANCHEL,CALLE JOAQUIN TURINA 31 Madrid,Tarde,2019-02-16,Laborable,,
85,2019-02-16 17:00:00,Despejado,Caida,Moderada,ARGANZUELA,PASEO. CHOPERA 2 Madrid,Tarde,2019-02-16,Laborable,,
86,2019-02-16 14:00:00,Despejado,Colision,Leve,CENTRO,RONDA DE VALENCIA CON GLORIETA DE EMBAJADORES Madrid,Tarde,2019-02-16,Laborable,,
87,2019-02-17 09:00:00,Despejado,Colision,Grave,CARABANCHEL,AVDA. POBLADOS / CALLE ANTONIO ROMERO Madrid,Mañana,2019-02-17,Festivo,,
88,2019-02-19 12:00:00,Despejado,Colision,Leve,LATINA,CALLE IGLESIAS EXTRAMUROS / AVDA. PESETA Madrid,Mañana,2019-02-19,Laborable,,
89,2019-02-20 10:00:00,Despejado,Colision,Leve,PUENTE DE VALLECAS,CALLE MANCHA / AVDA. ENTREVIAS Madrid,Mañana,2019-02-20,Laborable,,
90,2019-02-20 08:00:00,Despejado,Caida,Leve,CENTRO,CALLE ATOCHA 104 Madrid,Mañana,2019-02-20,Laborable,,
91,2019-02-22 20:00:00,Despejado,Colision,Moderada,CARABANCHEL,CALLE GENERAL RICARDOS 18 Madrid,Tarde,2019-02-22,Laborable,,
92,2019-02-23 21:00:00,Despejado,Colision,Leve,MONCLOA-ARAVACA,PLAZA. ESPAÑA 16 Madrid,Noche,2019-02-23,Laborable,,
93,2019-02-23 11:00:00,Despejado,Caida,Leve,ARGANZUELA,CALLE PARROCO EUSEBIO CUENCA 46 Madrid,Mañana,2019-02-23,Laborable,,
94,2019-02-25 17:00:00,Despejado,Caida,Moderada,CENTRO,CALLE ESPARTEROS 12 Madrid,Tarde,2019-02-25,Laborable,,
95,2019-02-27 20:00:00,Despejado,Colision,Leve,LATINA,CALLE MELILOTO / CALLE NOPALERA Madrid,Tarde,2019-02-27,Laborable,,
96,2019-02-27 19:00:00,Despejado,Colision,Leve,CHAMBERÍ,PASEO. GENERAL MARTINEZ CAMPOS / CALLE MODESTO LAFUENTE Madrid,Tarde,2019-02-27,Laborable,,
97,2019-02-27 10:00:00,Despejado,Caida,Leve,RETIRO,PASEO. FERNAN NUÑEZ / PASEO. VENEZUELA Madrid,Mañana,2019-02-27,Laborable,,
98,2019-02-28 09:00:00,Despejado,Colision,Leve,BARAJAS,GTA. SINTRA / CALLE VIA DE DUBLIN Madrid,Mañana,2019-02-28,Laborable,,
99,2019-02-28 08:00:00,Despejado,Caida,Leve,CHAMBERÍ,PASEO. CASTELLANA 29 Madrid,Mañana,2019-02-28,Laborable,,
100,2019-03-01 21:00:00,Despejado,Colision,Leve,RETIRO,PASEO. PRADO 13 Madrid,Noche,2019-03-01,Laborable,,
101,2019-03-01 13:00:00,Despejado,Caida,Leve,CHAMBERÍ,CALLE MODESTO LAFUENTE 61 Madrid,Tarde,2019-03-01,Laborable,,
102,2019-03-01 12:00:00,Despejado,Otro,Leve,VICÁLVARO,CALLE HACIENDA DE PAVONES / CALLE BRUJAS Madrid,Mañana,2019-03-01,Laborable,,
103,2019-03-01 12:00:00,Despejado,Caida,Leve,ARGANZUELA,RONDA. ATOCHA 7 Madrid,Mañana,2019-03-01,Laborable,,
104,2019-03-02 15:00:00,Despejado,Caida,Leve,TETUÁN,CALLE RAIMUNDO FERNANDEZ VILLAVERDE / PASEO. CASTELLANA Madrid,Tarde,2019-03-02,Laborable,,
105,2019-03-02 14:00:00,Despejado,Caida,Grave,ARGANZUELA,PASEO. MOLINO 1 Madrid,Tarde,2019-03-02,Laborable,,
106,2019-03-02 04:00:00,Despejado,Caida,Leve,CENTRO,PASEO. PRADO 48 Madrid,Noche,2019-03-02,Laborable,,
107,2019-03-03 23:00:00,Despejado,Colision,Leve,CENTRO,PLAZA. EMPERADOR CARLOS V 1 Madrid,Noche,2019-03-03,Festivo,,
108,2019-03-03 21:00:00,Despejado,Colision,Leve,CHAMBERÍ,CALLE PRINCESA / CALLE HILARION ESLAVA Madrid,Noche,2019-03-03,Festivo,,
109,2019-03-04 16:00:00,Despejado,Colision,Leve,MORATALAZ,CALLE ARROYO DE LA MEDIA LEGUA / CALLE CORREGIDOR DIEGO CABEZA DE VACA Madrid,Tarde,2019-03-04,Laborable,,
110,2019-03-04 16:00:00,Despejado,Colision,Leve,RETIRO,CALLE ALFONSO XII / CALLE MONTALBAN Madrid,Tarde,2019-03-04,Laborable,,
111,2019-03-04 13:00:00,Despejado,Colision,Moderada,CHAMARTÍN,PASEO. CASTELLANA 92 Madrid,Tarde,2019-03-04,Laborable,,
112,2019-03-04 12:00:00,Despejado,Caida,Leve,RETIRO,RETIRO Madrid,Mañana,2019-03-04,Laborable,,
113,2019-03-05 16:00:00,Despejado,Colision,Leve,BARAJAS,CALLE TRESPADERNE / AVDA. SUR DEL AEROPUERTO DE BARAJAS Madrid,Tarde,2019-03-05,Laborable,,
114,2019-03-06 17:00:00,Despejado,Colision,Leve,SAN BLAS-CANILLEJAS,CALLE ALBAIDA 76 Madrid,Tarde,2019-03-06,Laborable,,
115,2019-03-06 10:00:00,Despejado,Caida,Leve,VILLA DE VALLECAS,PLAZA. CARDENAL CISNEROS / AVDA. COMPLUTENSE Madrid,Mañana,2019-03-06,Laborable,,
116,2019-03-08 21:00:00,Despejado,Colision,Moderada,HORTALEZA,CALLE PRINCIPE CARLOS / CALLE MARIA TUDOR Madrid,Noche,2019-03-08,Laborable,,
117,2019-03-08 21:00:00,Despejado,Colision,Moderada,HORTALEZA,CALLE PRINCIPE CARLOS / CALLE MARIA TUDOR Madrid,Noche,2019-03-08,Laborable,,
118,2019-03-08 19:00:00,Despejado,Colision,Leve,BARAJAS,AVDA. PARTENON 2 Madrid,Tarde,2019-03-08,Laborable,,
119,2019-03-08 17:00:00,Despejado,Colision,Leve,TETUÁN,PASEO. CASTELLANA / CALLE RAIMUNDO FERNANDEZ VILLAVERDE Madrid,Tarde,2019-03-08,Laborable,,
120,2019-03-09 20:00:00,Despejado,Colision,Leve,PUENTE DE VALLECAS,CALLE LOPEZ GRASS / AVDA. ALBUFERA Madrid,Tarde,2019-03-09,Laborable,,
121,2019-03-10 22:00:00,Despejado,Caida,Leve,LATINA,AVDA. PORTUGAL 1 Madrid,Noche,2019-03-10,Festivo,,
122,2019-03-10 19:00:00,Despejado,Colision,Moderada,LATINA,PASEO. ERMITA DEL SANTO / CALLE VIA CARPETANA Madrid,Tarde,2019-03-10,Festivo,,
123,2019-03-10 17:00:00,Despejado,Colision,Leve,HORTALEZA,AVDA. INGENIERO EMILIO HERRERA 15 Madrid,Tarde,2019-03-10,Festivo,,
124,2019-03-10 15:00:00,Despejado,Colision,Grave,HORTALEZA,CALLE SANTA ADELA 14 Madrid,Tarde,2019-03-10,Festivo,,
125,2019-03-10 15:00:00,Despejado,Colision,Leve,HORTALEZA,CALLE SANTA ADELA 14 Madrid,Tarde,2019-03-10,Festivo,,
126,2019-03-11 22:00:00,Despejado,Colision,Leve,CENTRO,PLAZA. ESPAÑA / CALLE BAILEN Madrid,Noche,2019-03-11,Laborable,,
127,2019-03-11 21:00:00,Despejado,Caida,Moderada,SALAMANCA,CALLE ALCALDE SAINZ DE BARANDA / AUTOV. M-30 Madrid,Noche,2019-03-11,Laborable,,
128,2019-03-11 20:00:00,Despejado,Otro,Leve,VILLAVERDE,CALLE ALCOCER / AVDA. ANDALUCIA Madrid,Tarde,2019-03-11,Laborable,,
129,2019-03-12 10:00:00,Despejado,Caida,Leve,PUENTE DE VALLECAS,CALLE REGUERA DE TOMATEROS 39 Madrid,Mañana,2019-03-12,Laborable,,
130,2019-03-12 09:00:00,Despejado,Colision,Moderada,CHAMARTÍN,CALLE JORGE MANRIQUE - CALLE SERRANO Madrid,Mañana,2019-03-12,Laborable,,
131,2019-03-13 19:00:00,Despejado,Otro,Leve,USERA,CALLE DOLORES BARRANCO / CALLE NICOLAS SANCHEZ Madrid,Tarde,2019-03-13,Laborable,,
132,2019-03-14 12:00:00,Despejado,Colision,Leve,MONCLOA-ARAVACA,AVDA. VICTORIA 11 Madrid,Mañana,2019-03-14,Laborable,,
133,2019-03-15 22:00:00,Despejado,Colision,Moderada,TETUÁN,CALLE BRAVO MURILLO 305 Madrid,Noche,2019-03-15,Laborable,,
134,2019-03-15 20:00:00,Despejado,Caida,Moderada,RETIRO,AVDA. CIUDAD DE BARCELONA / CALLE SECO Madrid,Tarde,2019-03-15,Laborable,,
135,2019-03-16 19:00:00,Despejado,Colision,Leve,RETIRO,CALLE O'DONNELL 52 Madrid,Tarde,2019-03-16,Laborable,,
136,2019-03-16 18:00:00,Despejado,Colision,Leve,CHAMBERÍ,CALLE ALMAGRO 25 Madrid,Tarde,2019-03-16,Laborable,,
137,2019-03-16 12:00:00,Despejado,Colision,Leve,HORTALEZA,AVDA. NICETO ALCALA ZAMORA / CALLE JULIO CASARES Madrid,Mañana,2019-03-16,Laborable,,
138,2019-03-16 01:00:00,Despejado,Caida,Leve,CENTRO,CALLE LUIS DE GONGORA / CALLE GRAVINA Madrid,Noche,2019-03-16,Laborable,,
139,2019-03-17 21:00:00,Despejado,Caida,Leve,CHAMARTÍN,PASEO. LA HABANA 39 Madrid,Noche,2019-03-17,Festivo,,
140,2019-03-17 12:00:00,Despejado,Imprudencia,Leve,USERA,AVDA. MANZANARES 196 Madrid,Mañana,2019-03-17,Festivo,,
141,2019-03-17 12:00:00,Despejado,Imprudencia,Leve,USERA,AVDA. MANZANARES 196 Madrid,Mañana,2019-03-17,Festivo,,
142,2019-03-17 12:00:00,Despejado,Imprudencia,Leve,USERA,"PQUE. MADRID RIO, +00700E Madrid",Mañana,2019-03-17,Festivo,,
143,2019-03-17 12:00:00,Despejado,Imprudencia,Leve,USERA,"PQUE. MADRID RIO, +00700E Madrid",Mañana,2019-03-17,Festivo,,
144,2019-03-17 10:00:00,Despejado,Caida,Leve,SAN BLAS-CANILLEJAS,CALLE SUECIA / AVDA. CANILLEJAS A VICALVARO Madrid,Mañana,2019-03-17,Festivo,,
145,2019-03-18 14:00:00,Despejado,Colision,Leve,CENTRO,CALLE SAN BERNARDO 43 Madrid,Tarde,2019-03-18,Laborable,,
146,2019-03-18 00:00:00,Despejado,Caida,Grave,CENTRO,CUSTA. SAN VICENTE / CALLE BAILEN Madrid,Noche,2019-03-18,Laborable,,
147,2019-03-19 08:00:00,Despejado,Colision,Leve,FUENCARRAL-EL PARDO,PLAZA. LEALTAD / PASEO. PRADO Madrid,Mañana,2019-03-19,Laborable,,
148,2019-03-20 18:00:00,Despejado,Caida,Leve,PUENTE DE VALLECAS,CALLE SANTA CRUZ DE RETAMAR / AVDA. MIGUEL HERNANDEZ Madrid,Tarde,2019-03-20,Laborable,,
149,2019-03-20 16:00:00,Despejado,Caida,Leve,CENTRO,CALLE ALACALA - PASEO DEL PRADO Madrid,Tarde,2019-03-20,Laborable,,
