fecha,meteo,tipo_accidente,lesividad,distrito,direccion,horario,dia,festividad,lon,lat
2019-02-16 20:00:00,Despejado,Caida,Leve,CARABANCHEL,CALLE JOAQUIN TURINA 31 Madrid,Tarde,2019-02-16,Laborable,-3.7533687,40.372187
2019-02-16 17:00:00,Despejado,Caida,Moderada,ARGANZUELA,PASEO. CHOPERA 2 Madrid,Tarde,2019-02-16,Laborable,-3.7022263,40.3958491
2019-02-16 14:00:00,Despejado,Colision,Leve,CENTRO,RONDA DE VALENCIA CON GLORIETA DE EMBAJADORES Madrid,Tarde,2019-02-16,Laborable,-3.7022481,40.40512409999999
2019-02-17 09:00:00,Despejado,Colision,Grave,CARABANCHEL,AVDA. POBLADOS / CALLE ANTONIO ROMERO Madrid,Mañana,2019-02-17,Festivo,-3.7312235,40.3734001
2019-02-19 12:00:00,Despejado,Colision,Leve,LATINA,CALLE IGLESIAS EXTRAMUROS / AVDA. PESETA Madrid,Mañana,2019-02-19,Laborable,-3.764662599999999,40.3677297
2019-02-20 10:00:00,Despejado,Colision,Leve,PUENTE DE VALLECAS,CALLE MANCHA / AVDA. ENTREVIAS Madrid,Mañana,2019-02-20,Laborable,-3.6686962,40.38167610000001
2019-02-20 08:00:00,Despejado,Caida,Leve,CENTRO,CALLE ATOCHA 104 Madrid,Mañana,2019-02-20,Laborable,-3.695468,40.4102417
2019-02-22 20:00:00,Despejado,Colision,Moderada,CARABANCHEL,CALLE GENERAL RICARDOS 18 Madrid,Tarde,2019-02-22,Laborable,-3.7183794,40.39652239999999
2019-02-23 21:00:00,Despejado,Colision,Leve,MONCLOA-ARAVACA,PLAZA. ESPAÑA 16 Madrid,Noche,2019-02-23,Laborable,-3.713224,40.4237064
2019-02-23 11:00:00,Despejado,Caida,Leve,ARGANZUELA,CALLE PARROCO EUSEBIO CUENCA 46 Madrid,Mañana,2019-02-23,Laborable,-3.6888015,40.3951653
2019-02-25 17:00:00,Despejado,Caida,Moderada,CENTRO,CALLE ESPARTEROS 12 Madrid,Tarde,2019-02-25,Laborable,-3.7053396,40.4156574
2019-02-27 20:00:00,Despejado,Colision,Leve,LATINA,CALLE MELILOTO / CALLE NOPALERA Madrid,Tarde,2019-02-27,Laborable,-3.7696025,40.3889419
2019-02-27 19:00:00,Despejado,Colision,Leve,CHAMBERÍ,PASEO. GENERAL MARTINEZ CAMPOS / CALLE MODESTO LAFUENTE Madrid,Tarde,2019-02-27,Laborable,-3.6965022,40.4350246
2019-02-27 10:00:00,Despejado,Caida,Leve,RETIRO,PASEO. FERNAN NUÑEZ / PASEO. VENEZUELA Madrid,Mañana,2019-02-27,Laborable,-3.680099299999999,40.41627260000001
2019-02-28 09:00:00,Despejado,Colision,Leve,BARAJAS,GTA. SINTRA / CALLE VIA DE DUBLIN Madrid,Mañana,2019-02-28,Laborable,-3.6131881,40.4709364
2019-02-28 08:00:00,Despejado,Caida,Leve,CHAMBERÍ,PASEO. CASTELLANA 29 Madrid,Mañana,2019-02-28,Laborable,-3.6896221,40.4309218
2019-03-01 21:00:00,Despejado,Colision,Leve,RETIRO,PASEO. PRADO 13 Madrid,Noche,2019-03-01,Laborable,-3.694130899999999,40.4142894
